idsubsls;idsls;kdprov;kdkab;kdkec;kddesa;kdsls;kdsubsls;nmprov;nmkab;nmkec;nmdesa;nmsls;centroid_y;centroid_x
6.40101E+15;6.40101E+13;64;1;10;11;16;1;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 016;-1.84012;115.936912
6.40101E+15;6.40101E+13;64;1;10;11;16;2;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 016;-1.83851;115.930747
6.40101E+15;6.40101E+13;64;1;10;11;16;3;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 016;-1.83979;115.928279
6.40101E+15;6.40101E+13;64;1;10;11;17;1;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 017;-1.84939;115.938747
6.40101E+15;6.40101E+13;64;1;10;11;17;2;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 017;-1.84742;115.927251
6.40101E+15;6.40101E+13;64;1;10;11;18;1;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 018;-1.8498;115.915237
6.40101E+15;6.40101E+13;64;1;10;11;18;2;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 018;-1.83283;115.919606
6.40101E+15;6.40101E+13;64;1;10;11;19;1;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 019;-1.83095;115.92439
6.40101E+15;6.40101E+13;64;1;10;11;19;2;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 019;-1.82983;115.923192
6.40101E+15;6.40101E+13;64;1;10;11;19;3;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 019;-1.83056;115.922547
6.40101E+15;6.40101E+13;64;1;10;11;20;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 020;-1.82809;115.925137
6.40101E+15;6.40101E+13;64;1;10;11;21;1;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 021;-1.82798;115.920863
6.40101E+15;6.40101E+13;64;1;10;11;21;2;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 021;-1.82949;115.921793
6.40101E+15;6.40101E+13;64;1;10;11;21;3;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 021;-1.82596;115.923429
6.40101E+15;6.40101E+13;64;1;10;11;22;1;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 022;-1.82575;115.918177
6.40101E+15;6.40101E+13;64;1;10;11;22;2;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 022;-1.82435;115.921421
6.40101E+15;6.40101E+13;64;1;10;11;22;3;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 022;-1.82369;115.919817
6.40101E+15;6.40101E+13;64;1;10;11;23;1;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 023;-1.82445;115.914728
6.40101E+15;6.40101E+13;64;1;10;11;23;2;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 023;-1.82365;115.916309
6.40101E+15;6.40101E+13;64;1;10;11;23;3;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 023;-1.82165;115.919247
6.40101E+15;6.40101E+13;64;1;10;11;23;4;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 023;-1.82162;115.916003
6.40101E+15;6.40101E+13;64;1;10;11;24;1;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 024;-1.82326;115.904484
6.40101E+15;6.40101E+13;64;1;10;11;24;2;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 024;-1.82288;115.905499
6.40101E+15;6.40101E+13;64;1;10;11;24;3;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 024;-1.82135;115.90856
6.40101E+15;6.40101E+13;64;1;10;11;24;4;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 024;-1.82251;115.909605
6.40101E+15;6.40101E+13;64;1;10;11;24;5;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 024;-1.82269;115.911852
6.40101E+15;6.40101E+13;64;1;10;11;24;6;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 024;-1.82396;115.912431
6.40101E+15;6.40101E+13;64;1;10;11;24;7;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 024;-1.82112;115.913606
6.40101E+15;6.40101E+13;64;1;10;11;24;8;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 024;-1.81987;115.911548
6.40101E+15;6.40101E+13;64;1;10;11;25;1;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 025;-1.83984;115.894919
6.40101E+15;6.40101E+13;64;1;10;11;25;2;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 025;-1.83031;115.898798
6.40101E+15;6.40101E+13;64;1;10;11;25;3;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 025;-1.82706;115.900148
6.40101E+15;6.40101E+13;64;1;10;11;25;4;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 025;-1.8248;115.901675
6.40101E+15;6.40101E+13;64;1;10;11;25;5;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 025;-1.82196;115.904145
6.40101E+15;6.40101E+13;64;1;10;11;25;6;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 025;-1.8199;115.904688
6.40101E+15;6.40101E+13;64;1;10;11;25;7;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 025;-1.81843;115.905036
6.40101E+15;6.40101E+13;64;1;10;11;25;8;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 025;-1.81807;115.907108
6.40101E+15;6.40101E+13;64;1;10;11;25;9;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 025;-1.817;115.907802
6.40101E+15;6.40101E+13;64;1;10;11;25;10;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 025;-1.81417;115.904631
6.40101E+15;6.40101E+13;64;1;10;11;25;11;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 025;-1.81885;115.908537
6.40101E+15;6.40101E+13;64;1;10;11;25;12;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 025;-1.81976;115.907544
6.40101E+15;6.40101E+13;64;1;10;11;26;1;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 026;-1.81798;115.910305
6.40101E+15;6.40101E+13;64;1;10;11;26;2;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 026;-1.81741;115.912499
6.40101E+15;6.40101E+13;64;1;10;11;26;3;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 026;-1.81673;115.910767
6.40101E+15;6.40101E+13;64;1;10;11;26;4;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 026;-1.81608;115.908817
6.40101E+15;6.40101E+13;64;1;10;11;26;5;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 026;-1.81524;115.908797
6.40101E+15;6.40101E+13;64;1;10;11;27;1;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 027;-1.81886;115.912861
6.40101E+15;6.40101E+13;64;1;10;11;27;2;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 027;-1.81565;115.912623
6.40101E+15;6.40101E+13;64;1;10;11;28;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 028;-1.81947;115.914908
6.40101E+15;6.40101E+13;64;1;10;11;29;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 029;-1.81825;115.900757
6.40101E+15;6.40101E+13;64;1;10;11;30;1;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 030;-1.84001;115.901907
6.40101E+15;6.40101E+13;64;1;10;11;30;2;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 030;-1.82703;115.909367
6.40101E+15;6.40101E+13;64;1;10;11;30;3;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 030;-1.8239;115.905699
6.40101E+15;6.40101E+13;64;1;10;11;30;4;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 030;-1.82506;115.90424
6.40101E+15;6.40101E+13;64;1;10;11;30;5;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 030;-1.82709;115.90381
6.40101E+15;6.40101E+13;64;1;10;11;31;1;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 031;-1.84451;115.906561
6.40101E+15;6.40101E+13;64;1;10;11;31;2;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 031;-1.83015;115.91959
6.40101E+15;6.40101E+13;64;1;10;12;1;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;LEGAI;RT 001;-1.86978;115.950036
6.40101E+15;6.40101E+13;64;1;10;12;2;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;LEGAI;RT 002;-1.88694;115.965146
6.40101E+15;6.40101E+13;64;1;10;12;3;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;LEGAI;RT 003;-1.85083;115.983229
6.40101E+15;6.40101E+13;64;1;10;12;4;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;LEGAI;RT 004;-1.8751;115.951113
6.40101E+15;6.40101E+13;64;1;10;12;5;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;LEGAI;RT 005;-1.8636;115.953875
6.40101E+15;6.40101E+13;64;1;10;13;1;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;SUNGAI TERIK;RT 001;-1.80315;115.96504
6.40101E+15;6.40101E+13;64;1;10;13;2;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;SUNGAI TERIK;RT 002;-1.83849;115.947154
6.40101E+15;6.40101E+13;64;1;10;13;3;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;SUNGAI TERIK;RT 003;-1.84279;115.949391
6.40101E+15;6.40101E+13;64;1;10;13;4;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;SUNGAI TERIK;RT 004;-1.82321;115.980246
6.40101E+15;6.40101E+13;64;1;10;13;5;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;SUNGAI TERIK;RT 005;-1.82105;115.984635
6.40101E+15;6.40101E+13;64;1;10;13;6;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;SUNGAI TERIK;RT 006;-1.81958;115.989609
6.40101E+15;6.40101E+13;64;1;10;13;7;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;SUNGAI TERIK;RT 007;-1.79539;116.017826
6.40101E+15;6.40101E+13;64;1;10;13;8;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;SUNGAI TERIK;RT 008;-1.8372;115.951572
