Unnamed: 0;idsbr;nama_usaha;alamat_usaha;kode_wilayah;kdprov;kdkab;kdkec;kddesa;nmprov;nmkab;nmkec;nmdesa;perusahaan_id;skor_kalo;kegiatan_usaha;rank_nama;rank_alamat;history_ref_profiling_id;skala_usaha;sumber_data;lat1;long1;latlong_status;gcid;gcs_result;allow_cancel;allow_edit;allow_flagging;latitude_gc;longitude_gc;latlong_status_gc;gc_username;nama_usaha_gc;alamat_usaha_gc;lat_2;long_2;cleaned_nama_usaha;sim_score;is_duplicate;gc_flag_duplikat;match_with;alamat_cek;cleaned_alamat;id_duplikat;kbli2d;nama_usaha_with_alamat_and_kbli;hasilgc;flag_shadow;is_perorangan;is_kurung;status_perusahaan;alamat_cleaned;RT;RW;is_in_perumahan;is_in_pasar;flag_notes;id_rtrw;latitude;longitude;is_gced_alltime;is_gc_hari_ini
4600;48600593;KARINDU;JL RAHMAD GANG AL-FAQIR;6401040003;64;1;40;3;KALIMANTAN TIMUR;PASER;TANAH GROGOT;TEPIAN BATANG;eyJpdiI6IlVEV0dscVZDbVpSMVRrSW9wcHpkdFE9PSIsInZhbHVlIjoiejhUYWxqV2ZJT0NlK3B0REhBWXNEZz09IiwibWFjIjoiMWUzM2VjZmMxMzJjZDc3MjdhNmQwNGY3MjEyNWU3ODhlYTEwOGExNjE4NGVmNzA3ZTc1Y2RkNGVlMzBlMmJmOCIsInRhZyI6IiJ9;;"[Kegiatan Usaha: -, Kategori: -, KBLI: 42101]; [Kegiatan Usaha: -, Kategori: -, KBLI: 42201]; [Kegia...";;;;;OSS - Perorangan;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;;;karindu;0.871422227;1;1;KARINDU;JL RAHMAD GANG AL-FAQIR;jl rahmad gang al faqir;50;42;karindu jl rahmad gang al faqir kbli42;1;0;1;0;Aktif;JL RAHMAD GANG ALFAQIR;0;0;;;NAIK 0702 - 15.15 WITA;6401040003_0_0;-1.8789657;116.1814962;0;0
4620;42739858;MULTI SARI ABADI;Jl. Ulin;6401040003;64;1;40;3;KALIMANTAN TIMUR;PASER;TANAH GROGOT;TEPIAN BATANG;eyJpdiI6InUvMkJjQkFOaURNeTQ1KzM0SWJ3dnc9PSIsInZhbHVlIjoiYXdFajhGZk5SWWhhVElkYWFpNUFJQT09IiwibWFjIjoiYzE5YmJjOWVjODVlM2NiNDlkNjAyYTk5NDU0ZmI5ZGNjMzNhM2MxOTNmNGI2NGNlNzM4YmY0YjdjY2EzYWEyYSIsInRhZyI6IiJ9;;"[Kegiatan Usaha: -, Kategori: -, KBLI: 41011]; [Kegiatan Usaha: -, Kategori: -, KBLI: 41016]; [Kegia...";;;;;OSS - Badan Usaha;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;;;multi sari abadi;0.861520284;1;1;MULTI SARI ABADI;Jl. Ulin;jl ulin;51;41;multi sari abadi jl ulin kbli41;1;0;1;0;Aktif;Jl Ulin;0;0;;;NAIK 0702 - 15.15 WITA;6401040003_0_0;-1.8783318;116.1686011;0;0
4645;44536227;ANITECH PRATAMA MANDIRI;Jl. DI. PANJAITAN KM. 4;6401040003;64;1;40;3;KALIMANTAN TIMUR;PASER;TANAH GROGOT;TEPIAN BATANG;eyJpdiI6IkZHODBFOUY1N2pWZkFlVDVOL2ZqRHc9PSIsInZhbHVlIjoiWVVHWm1mUTFVbXJtNUQwRmJQRk0wQT09IiwibWFjIjoiZWQ4YTMwYzU1MzMwYWJjNTZiYmEwYWRkMzAwNmYyYzBlMTA5Y2RjZGViNjM1NjExMjNmY2NmNDNkYjNkNjkwYyIsInRhZyI6IiJ9;;"[Kegiatan Usaha: -, Kategori: -, KBLI: 68200]; [Kegiatan Usaha: -, Kategori: -, KBLI: 46100]; [Kegia...";;;;;OSS - Perorangan;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;;;anitech pratama mandiri;0.890025205;1;1;ANITECH PRATAMA MANDIRI;Jl. DI. PANJAITAN KM. 4;jl di panjaitan km 4;52;68;anitech pratama mandiri jl di panjaitan km 4 kbli68;1;0;1;0;Aktif;Jl DI PANJAITAN KM 4;0;0;;;NAIK 0702 - 15.15 WITA;6401040003_0_0;-1.8883913;116.1892953;0;0
4730;42740519;RUMAH SAKIT UMUM DAERAH PANGLIMA SEBAYA;Jl. Kusuma Bangsa Km.05;6401040003;64;1;40;3;KALIMANTAN TIMUR;PASER;TANAH GROGOT;TEPIAN BATANG;eyJpdiI6InhiRytSNnRGcE4wZE0zZzhLa2NkbVE9PSIsInZhbHVlIjoicWc4Syt4blhYTlhHeHN2MVpPZ1dydz09IiwibWFjIjoiNmQ0NmM2MzYxZjg0NTNiNDNhZjU4ZjNjZDY1ZTE3NDNjYzIzZjAwNDA1MzUyYzJhNGMxOWVjMDM1NDZmOGQxYSIsInRhZyI6IiJ9;;[Kegiatan Usaha: -, Kategori: -, KBLI: 86101];;;;;OSS - Badan Usaha;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;;;rumah sakit umum daerah panglima sebaya;1;1;1;RUMAH SAKIT UMUM DAERAH PANGLIMA SEBAYA;Jl. Kusuma Bangsa Km.05;jl kusuma bangsa km 05;55;86;rumah sakit umum daerah panglima sebaya jl kusuma bangsa km 05 kbli86;1;0;1;0;Aktif;Jl Kusuma Bangsa Km05;0;0;;;NAIK 0702 - 15.15 WITA;6401040003_0_0;-1.8869889;116.1768334;0;0
4762;58676027;SETYA KARYA NUSANTARA;Jl. DI Panjaitan;6401040003;64;1;40;3;KALIMANTAN TIMUR;PASER;TANAH GROGOT;TEPIAN BATANG;eyJpdiI6InZneENyUkZxU3BCYm9CL08yU21HbGc9PSIsInZhbHVlIjoiN1VlSXB3SjZ1a09aRFJtazNkMUFyUT09IiwibWFjIjoiNTcwYjIyNTFhNTM2ODgwMDg5NmI1ZGIzZjg0ZjVkZmRmMmIzNzU3MzU3YTgwMTg2YzUyZDcyYzhmODRkMzM1ZiIsInRhZyI6IiJ9;;[Kegiatan Usaha: Penyediaan Jasa Boga Periode Tertentu, Kategori: -, KBLI: 56290];;;;;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;;;setya karya nusantara;0.922895468;1;1;SETYA KARYA NUSANTARA;JL. DI. PANJAITAN;jl di panjaitan;56;56;setya karya nusantara jl di panjaitan kbli56;1;0;1;0;Aktif;Jl DI Panjaitan;0;0;;;NAIK 0702 - 15.15 WITA;6401040003_0_0;-1.8883913;116.1892953;0;0
1683;2840485;JEFFRINDO EKAPUTRA;JL MODANG NO 69 RT.005 RW.003, TANAH GROGOT;6401040004;64;1;40;4;KALIMANTAN TIMUR;PASER;TANAH GROGOT;TANAH GROGOT;eyJpdiI6ImRxdlQxeDh0cUR1UGF4SGVRY2NEdmc9PSIsInZhbHVlIjoiMC9KcjRHbXIzUzJmWE9wY0NYeEk1dz09IiwibWFjIjoiYmQyMGNkMzUyZjk2ZGY5YThkZjNmNDIwNjZlM2M4Y2YxZGM0NGU1ODdlMjQ2MTc5NDY2YTM3OTUxNWJiZTUzOSIsInRhZyI6IiJ9;;[Kegiatan Usaha: -, Kategori: G, KBLI: 46100];;;45791;UMKM;Dir Pajak;;;invalid;;;FALSE;FALSE;FALSE;;;invalid;;;;;;jeffrindo ekaputra;0;0;0;;;jl modang no 69 rt 005 rw 003 tanah grogot;;46;jeffrindo ekaputra jl modang no 69 rt 005 rw 003 tanah grogot kbli46;4;0;1;0;Duplikat;JL MODANG NO 69 RT005 RW003 TANAH GROGOT;5;3;;;NAIK 0702 - 15.15 WITA;6401040004_5_3;-1.91122;116.196126;0;0
2002;3274301;PAPADAAN;JL A YANI RT 02 RW 02;6401040004;64;1;40;4;KALIMANTAN TIMUR;PASER;TANAH GROGOT;TANAH GROGOT;eyJpdiI6InNmdE8yWk5IQ0g5Zmg0cHJaSVk2cnc9PSIsInZhbHVlIjoiN1Q0ajhPR1BleDBuQWFSQ1VHRDhWUT09IiwibWFjIjoiNmQyNjJmODQxOGExMjAwZDZkZjM2ZjRhZWU3OThjYmIyNTUxNzE1ZmQ4NTkzZjQ2YzJiOGMwYjc2YzRhZjQ3MSIsInRhZyI6IiJ9;;[Kegiatan Usaha: -, Kategori: I, KBLI: 56210];;;45962;UMKM;Dir Pajak;;;invalid;;;FALSE;FALSE;FALSE;;;invalid;;;;;;papadaan;0;0;0;;;jl a yani rt 02 rw 02;;56;papadaan jl a yani rt 02 rw 02 kbli56;4;0;1;0;Duplikat;JL A YANI RT 02 RW 02;2;2;;;NAIK 0702 - 15.15 WITA;6401040004_2_2;-1.91708;116.195563;0;0
3811;6055323;PINARA 21 KOS & GUEST HOUSE;JL. S.I. KHALILUDIN, GG NUSA INDAH 1, TANAH GROGOT, RT 011 RW 04;6401040004;64;1;40;4;KALIMANTAN TIMUR;PASER;TANAH GROGOT;TANAH GROGOT;eyJpdiI6ImpwSG9GaUtZZHFqNVBpejlLeW0wSmc9PSIsInZhbHVlIjoiUDRxVElrTjMrZUFhTzlSSVRMOC9qdz09IiwibWFjIjoiYTYyMDQ1MDZlMzQxNzlmYzYyZGE1MTQxNmFlNmJlODJmYTdhYWY5ZGU0YmEyODJhOWUwNTdhMWM1ZWM5NWJiNiIsInRhZyI6IiJ9;;[Kegiatan Usaha: Rumah Kos, Kategori: -, KBLI: -];;;45791;UMKM;;;;invalid;;;FALSE;FALSE;FALSE;;;invalid;;;;;;pinara 21 kos guest house;0;0;0;;;jl s i khaliludin gg nusa indah 1 tanah grogot rt 011 rw 04;;0;pinara 21 kos guest house jl s i khaliludin gg nusa indah 1 tanah grogot rt 011 rw 04 kbli00;4;0;1;0;Duplikat;JL SI KHALILUDIN GG NUSA INDAH 1 TANAH GROGOT RT 011 RW 04;11;4;;;NAIK 0702 - 15.15 WITA;6401040004_11_4;-1.90231;116.191342;0;0
4439;6475855;Toko Emas H. Lukman;RT.05/RW.03;6401040004;64;1;40;4;KALIMANTAN TIMUR;PASER;TANAH GROGOT;TANAH GROGOT;eyJpdiI6IlhDUTB4L2N4aEJVV0RVc20zYUVXb2c9PSIsInZhbHVlIjoiTVZLMUpraVliSkN1U21xZmMvdXNudz09IiwibWFjIjoiN2NkMzM4ZTUyZjAzNjc5NmZlMmRhNGI0NDNmNGM4ZDRiMTA3NDUwNmM4Nzk3Njk0Nzg3NmMzNmU3YzllZDdlYSIsInRhZyI6IiJ9;;[Kegiatan Usaha: Menjual: Perhiasan dan Emas Batangan, Kategori: G, KBLI: -];;;45693;;;;;invalid;;;FALSE;FALSE;FALSE;;;invalid;;;;;;emas h lukman;0;0;0;;;rt 05 rw 03;;0;emas h lukman rt 05 rw 03 kbli00;4;0;1;0;Duplikat;RT05RW03;5;3;;;NAIK 0702 - 15.15 WITA;6401040004_5_3;-1.91122;116.196126;0;0
4561;7483797;Johansyah;Jl. P. Mentri RT.003 RW.004;6401040004;64;1;40;4;KALIMANTAN TIMUR;PASER;TANAH GROGOT;TANAH GROGOT;eyJpdiI6IlhLQjllRldrUUlRcmhPMjIzYXdNS1E9PSIsInZhbHVlIjoiTnpLd2VMTytqM213Y0hURk0rckdOUT09IiwibWFjIjoiMjkxZjcyNGM0NDExMjRjZWJlNjc0ZmY3YzI3YjFhZTZjNzE5M2ZmODA1NmY0OTI4MmIwYTA1MGE0ZmQxNmM2MiIsInRhZyI6IiJ9;;;;;46006;;;;;invalid;;;FALSE;FALSE;FALSE;;;invalid;;;;;;johansyah;0;0;0;;;jl p mentri rt 003 rw 004;;0;johansyah jl p mentri rt 003 rw 004 kbli00;4;0;1;0;Duplikat;Jl P Mentri RT003 RW004;3;4;;;NAIK 0702 - 15.15 WITA;6401040004_3_4;-1.90171;116.189459;0;0
